name,summary,home_page,layer,dependent_number,dependency
mxnet-mkl,MXNet is an ultra-scalable deep learning framework. This version uses MKLDNN.,https://github.com/apache/incubator-mxnet,1,3.0,
mxnet-native,MXNet is an ultra-scalable deep learning framework. This version uses .,https://github.com/apache/incubator-mxnet,1,,
mxnet-noavx,MXNet is an ultra-scalable deep learning framework. This version uses openblas.,https://github.com/apache/incubator-mxnet,1,,
mxnet-to-coreml,Tool to convert MXNet models into Apple CoreML model format.,https://github.com/apache/incubator-mxnet/tree/master/tools/coreml,1,,
Codemao,Codemao是由深圳点猫科技有限公司创建的一个面向Python初学者的、帮助初学者学习Python的库。 欢迎大家提出各种建议意见，共同讨论学习！,https://python.codemao.cn/,2,,mxnet
SDD,lightweight video detection,https://github.com/thomascong121/SocialDistance,2,,mxnet
SDDect,lightweight video detection,https://github.com/thomascong121/SocialDistance,2,,mxnet
TKT,This project aims to provide multiple knowledge tracing models.,,2,,mxnet
XKT,This project aims to provide multiple knowledge tracing models.,,2,,mxnet
ai-graphics,AI Graphics Toolkit,https://github.com/CachCheng/Python_Cookbook,2,,mxnet
atlinter,Interpolate missing section images in gene expression volumes,https://github.com/BlueBrain/atlas-interpolation,2,,mxnet
bert-embedding,BERT token level embedding with MxNet,https://github.com/imgarylai/bert_embedding,2,,mxnet
cnocr,"Simple package for Chinese OCR, with small pretrained models",https://github.com/breezedeus/cnocr,2,2.0,mxnet
cnstd,"Simple package for Chinese STR (Scene Text Recognition), with small pretrained models",https://github.com/breezedeus/cnstd,2,,mxnet
datawig,Imputation for tables with missing values,https://github.com/awslabs/datawig,2,2.0,mxnet
elit,ELIT: Evolution of Language and Information Technology,https://github.com/elitcloud/elit,2,,mxnet
forecastga,A Python tool to forecast GA data using several popular timeseries models,https://github.com/jroakes/ForecastGA,2,,mxnet
gluonts,"GluonTS is a Python toolkit for probabilistic time series modeling, built around MXNet.",https://github.com/awslabs/gluon-ts,2,2.0,mxnet
gxdltk,DeepLearning Toolkit for pytorch,,2,,mxnet
h3mlcore,,https://github.com/CognutSecurity/h3mlcore,2,,mxnet
minpy,Pure NumPy practice with third-party operator integration.,https://github.com/dmlc/minpy,2,,mxnet
mlmodels,"Generic model API, Model Zoo in Tensorflow, Keras, Pytorch, Hyperparamter search",https://github.com/arita37/mlmodels,2,,mxnet
model-performance-investigator,Package give idea of a models performance based on given data,https://github.com/srikandan/model-evaluation,2,,mxnet
monk-cpu,"Monk Classification - CPU - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet
monk-cpu-test,"Monk Classification - CPU - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet
monk-gluon-cpu,Monk Classification - CPU - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet
monk-gluon-cpu-test,Monk Classification - CPU - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet
mxboard,A logging tool for visualizing MXNet data in TensorBoard,https://github.com/awslabs/mxboard,2,,mxnet
mxnet-coreml-converter,Tool to convert MXNet models into Apple CoreML model format.,https://github.com/apache/incubator-mxnet/tree/master/tools/coreml,2,,mxnet
mxnet-donkeycar,"An Mxnet Implementation of DonkeyCar, adjusted from the original repo: https://github.com/wroscoe/donkey",https://github.com/vlamai/donkey,2,,mxnet
mxnet-model-server,Model Server for Apache MXNet is a tool for serving neural net models for inference,https://github.com/awslabs/mxnet-model-server,2,1.0,mxnet
mxnet-to-coreml,Tool to convert MXNet models into Apple CoreML model format.,https://github.com/apache/incubator-mxnet/tree/master/tools/coreml,2,,mxnet
mxop,A tool to count OPs and paramters of MXNet model.,https://github.com/hey-yahei/OpSummary.MXNet,2,,mxnet
nprintml,Fully automated traffic analysis with nPrint,https://github.com/nprint/nprintml,2,,mxnet
onnx-mxnet,ONNX-MXNet Model converter,https://github.com/onnx/onnx-mxnet,2,1.0,mxnet
openml-mxnet,MXNet extension for Openml python API,http://openml.org/,2,,mxnet
pyTextMiner,A text mining tool for Korean and English,https://github.com/MinSong2/pyTextMiner,2,,mxnet
robotathome,This package provides a Python API that assists in loading and parsing the annotations in Robot@Home Dataset,https://github.com/goyoambrosio/RobotAtHome_API,2,,mxnet
sktmls,MLS SDK,https://github.com/sktaiflow/mls-sdk,2,,mxnet
sockeye,Sequence-to-Sequence framework for Neural Machine Translation,https://github.com/awslabs/sockeye,2,,mxnet
spaco,Smooth and probablistic PARAFAC decomposition with covariates,,2,,mxnet
tensorly,Tensor learning in Python.,https://github.com/tensorly/tensorly,2,17.0,mxnet
tmnt,Topic modeling neural toolkit,https://github.com/mitre/tmnt.git,2,,mxnet
tmnt-WELLNER,Topic modeling neural toolkit,https://github.com/mitre/tmnt.git,2,,mxnet
treform,A text mining tool for Korean and English,https://github.com/MinSong2/treform,2,1.0,mxnet
trueface-server,Trueface.ai Server SDK,https://github.com/getchui/truefacesdk,2,,mxnet
turicreate,Turi Create simplifies the development of custom machine learning models.,https://github.com/apple/turicreate,2,1.0,mxnet
vineyard-ml,Vineyard integration with machine learning frameworks,https://v6d.io,2,,mxnet
wikifaces,A downloader for named images containing faces from Wiki servers.,https://github.com/tford9/Wiki-Faces-Downloader,2,,mxnet
wikifaces-tford5,A downloader for named images containing faces from Wiki servers.,https://github.com/tford9/Wiki-Faces-Downloader,2,,mxnet
ai-graphics-gpu,AI Graphics Toolkit,https://github.com/CachCheng/Python_Cookbook,2,,mxnet-cu100
monk-cuda100,"Monk Classification Library - Cuda100 - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu100
monk-cuda100-test,"Monk Classification Library - Cuda100 - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu100
monk-gluon-cuda100,Monk Classification Library - Cuda100 - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu100
huf-aicv-detor,AICV assistance for object detection,,2,,mxnet-cu100mkl
SDD,lightweight video detection,https://github.com/thomascong121/SocialDistance,2,,mxnet-cu101
monk-colab,"Monk Classification Library - Colab - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu101
monk-cuda101-test,"Monk Classification Library - Cuda101 - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu101
monk-gluon-cuda101,Monk Classification Library - Cuda101 - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu101
tmnt-cu101,Topic modeling neural toolkit,https://github.com/mitre/tmnt.git,2,,mxnet-cu101
monk-cuda102,"Monk Classification Library - Cuda102 - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu102
monk-gluon-cuda102,Monk Classification Library - Cuda102 - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu102
monk-gluon-cuda102-test,Monk Classification Library - Cuda102 - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu102
monk-cls-test1,Monk Classification's Gluoncv backend,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu90
monk-cuda90,"Monk Classification Library - Cuda90 - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu90
monk-gluon-cuda90,Monk Classification Library - Cuda90 - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu90
monk-gluon-cuda90-test1,Monk Classification Library - Cuda90 - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu90
monk-obj-test1,Monk Object Detection's 1_gluoncv_finetune,https://github.com/Tessellate-Imaging/Monk_Object_Detection,2,,mxnet-cu90
monk-test1,A small example package,https://github.com/pypa/sampleproject,2,,mxnet-cu90
monk-cuda92,"Monk Classification Library - Cuda92 - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu92
monk-cuda92-test,"Monk Classification Library - Cuda92 - backends - pytorch, keras, gluon",https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu92
monk-gluon-cuda92,Monk Classification Library - Cuda92 - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu92
monk-gluon-cuda92-test,Monk Classification Library - Cuda92 - backends - mxnet-gluon,https://github.com/Tessellate-Imaging/monk_v1,2,,mxnet-cu92
cellpose,anatomical segmentation algorithm,https://github.com/MouseLand/cellpose,2,4.0,mxnet-mkl
mxnet-model-server,Model Server for Apache MXNet is a tool for serving neural net models for inference,https://github.com/awslabs/mxnet-model-server,2,1.0,mxnet-mkl
sockeye,Sequence-to-Sequence framework for Neural Machine Translation,https://github.com/awslabs/sockeye,2,,mxnet-mkl
cca-zoo,"Canonical Correlation Analysis Zoo: CCA, GCCA, MCCA, DCCA, DGCCA, DVCCA, DCCAE, KCCA and regularised variants including sparse CCA , ridge CCA and elastic CCA",https://github.com/jameschapman19/cca_zoo,3,,tensorly
cell2cell,TBD,,3,,tensorly
corcondia,An implementation of the CORCONDIA (Core Consistency Diagnostic) in Python.,http://pypi.python.org/pypi/corcondia/,3,,tensorly
cpsplines,Constrained P-splines,https://github.com/ManuelNavarroGarcia/cpsplines/,3,,tensorly
musco-pytorch,MUSCO: Multi-Stage COmpression of Neural Networks,https://github.com/musco-ai/musco-pytorch,3,,tensorly
musicae,Package for single-song autoencoders applied on musical segmentation.,https://gitlab.inria.fr/amarmore/musicae,3,,tensorly
musicntd,Package for NTD applied on musical segmentation,https://gitlab.inria.fr/amarmore/musicntd,3,,tensorly
ndlearn,Learning from and reconstructing networks using Nonnegative Matrix Factorization,https://github.com/jvendrow/Network-Dictionary-Learning,3,,tensorly
neutrino-engine,"Deep neural network optimizer to make them faster, smaller, and energy-efficient from cloud to edge computing.",https://www.deeplite.ai,3,1.0,tensorly
nn-fac,Nonnegative factorization toolbox.,https://gitlab.inria.fr/amarmore/nonnegative-factorization,3,1.0,tensorly
oboe,An AutoML pipeline selection system to quickly select a promising pipeline for a new dataset.,https://github.com/udellgroup/oboe,3,,tensorly
pathml,Tools for computational pathology,,3,,tensorly
pycroscopy,Python library for scientific analysis of microscopy data,https://pycroscopy.github.io/pycroscopy/about.html,3,1.0,tensorly
pykale,Knowledge-aware machine learning from multiple sources in Python,https://github.com/pykale/pykale,3,,tensorly
pyvidcompress,Tensor decomposition based video compression library for CPUs and GPUs,https://github.com/chathurawidanage/pyvidcompress,3,,tensorly
spaco,Smooth and probablistic PARAFAC decomposition with covariates,,3,,tensorly
tensorly-quantum,Tensor-Based Quantum Machine Learning,,3,,tensorly
iimpute,Package to make smart imputation easy,https://gitlab.com/i19/imputation,3,,datawig
mltronsAutoDataPrep,First Automated Data Preparation library powered by Deep Learning to  automatically clean and prepare TBs of data on clusters at scale.,https://github.com/ms8909/mltrons-auto-data-prep,3,,datawig
board-game-recommender,Board games recommender engine,https://recommend.games/,3,,turicreate
ocrpack,"Batch size prediction, detection speed up to 12fps, recognition speed up to 40-50fps",https://github.com/JoeZhou1025/ocr_package,3,,cnocr
ocrpackage,"Batch size prediction, detection speed up to 12fps, recognition speed up to 40-50fps",https://github.com/JoeZhou1025/ocr_package,3,,cnocr
FiReTiTiPyLib,Python libraries used as support/tools.,,3,1.0,cellpose
PartSeg-cellpose,"PartSeg plugin to use cellpose,",https://4dnucleome.cent.uw.edu.pl/PartSeg/,3,,cellpose
cellpose-napari,a generalist algorithm for anatomical segmentation,https://github.com/Mouseland/cellpose-napari,3,1.0,cellpose
jinxif,A python3-based image analysis package to achieve fully-documented and reproducible visualization and analysis of bio-medical microscopy images. This is a fork from Jennifer Eng`s mplex_image software library.,https://gitlab.com/bue/cmif,3,,cellpose
forecastga,A Python tool to forecast GA data using several popular timeseries models,https://github.com/jroakes/ForecastGA,3,,gluonts
mlmodels,"Generic model API, Model Zoo in Tensorflow, Keras, Pytorch, Hyperparamter search",https://github.com/arita37/mlmodels,3,,gluonts
sockeye-serving,A containerized service for neural machine translation,https://github.com/jamesewoo/sockeye-serving,3,,mxnet-model-server
yonlu,A deep learning based natural language understanding module,https://github.com/MinSong2/yonlu,3,,treform
mxnet-model-server,Model Server for Apache MXNet is a tool for serving neural net models for inference,https://github.com/awslabs/mxnet-model-server,3,,onnx-mxnet
FFTA,Fast Free Transient Analysis,https://github.com/rajgiriUW/ffta/,4,,pycroscopy
devbio-napari,A collection of napari plugins useful for studying developmental biology,https://github.com/haesleinhuepf/devbio-napari,4,,cellpose-napari
neutrino-torch,Torch backend for Deeplite Neutrino engine.,https://www.deeplite.ai,4,,neutrino-engine
cycIFAAP,Cyclic ImmunoFluoresence (cycIF) Automatic Analysis Pipeline,https://www.thibault.biz/Research/cycIFAAP/cycIFAAP.html,4,,FiReTiTiPyLib
musicntd,Package for NTD applied on musical segmentation,https://gitlab.inria.fr/amarmore/musicntd,4,,nn-fac
